name,description,address,pickup_time,team
ALDI  , _ ,  Unit 1 Fruitmarket Pl    Edinburgh EH14 1UD , TIME MISSING, COLLECTION
ALDI  , _ ,  100 Gorgie Park Rd    Edinburgh EH11 2QL, TIME MISSING, COLLECTION
ALDI  , _ ,  Hermiston Gait    Retail Park    Edinburgh EH11 4DF, TIME MISSING, COLLECTION
Iceland Supermarket Edinburgh    Shopping Centre , _ ,   Unit 40    Westerhailes    Edinburgh EH14 2SW, TIME MISSING, COLLECTION
Sainsbury's  , _ ,  39 Westfield Rd    Edinburgh EH11 2QW, TIME MISSING, COLLECTION
Pret A Manger , _ ,   Unit 7    25 Castle St    Edinburgh EH2 3DN, 6 PM, COLLECTION
Pret A Manger  , _ ,  30 North Bridge    Edinburgh EH1 1QG,TIME MISSING, COLLECTION
Pret A Manger  , _ ,  51 Hanover St    Edinburgh EH2 2PJ,TIME MISSING, COLLECTION
Pret North Bridge, _ ,,TIME MISSING, COLLECTION
Pret Waverley, _ ,,10 PM, COLLECTION
Iceland Portobello, _ ,,TIME MISSING, COLLECTION
Soderberg Broughton Street, _ ,,6 PM, COLLECTION
Iceland Easter Road, _ ,,7 PM -8 PM, COLLECTION
Food warehouse chesser, _ ,,7:30 PM -8 PM, COLLECTION
M&S chesser, _ ,,8 PM 9:30 PM, COLLECTION
Co-op Dalry, _ ,,8:30 PM, COLLECTION
Lidl Slateford, _ ,,9 PM, COLLECTION
Lidle Dalry, _ ,,9 PM, COLLECTION
Lidl Craigleith, _ ,,9 PM, COLLECTION
Co-op Stockbridge, _ ,,9 PM, COLLECTION
Co-op St. John's Road, _ ,,9:15 PM, COLLECTION
Lidl Corstorphine, _ ,,8:30 PM, COLLECTION
Sainsbury's Quartermile, _ ,,8 PM - 9:30 PM, COLLECTION
M&S straiton, _ ,,9:30 PM, COLLECTION
Sainsbury's Dundee Street, _ ,,9 PM - 11 PM, COLLECTION
Sainsbury's Shandwick plce, _ ,,10:15 PM, COLLECTION
